Organization Name,Organization Name URL,Number of Employees,Operating Status,Website,Contact Email,Phone Number,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Alumni,Industry Groups,Industries,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Number of Private Notes,Tags,Headquarters Location,Estimated Revenue Range,Founded Date,Founded Date Precision,Top 5 Investors,LinkedIn
UniCask,https://www.crunchbase.com/organization/unicask,11-50,Active,https://www.unicask.jp/,contact@unicask.com,,,,,,,,,,"Blockchain and Cryptocurrency, Financial Services, Food and Beverage, Gaming, Other, Payments, Software","Blockchain, Cryptocurrency, Online Games, SNS, Wine And Spirits",1,3,,Advertising; business,,,,,,"Tokyo, Tokyo, Japan",Less than $1M,2021-01-01,year,,https://www.linkedin.com/company/unicask/
Wwwaap,https://www.crunchbase.com/organization/wwwaap,1-10,Active,http://wwwaap.co.jp/,,03-6427-9850,,,,,,,,,Software,SNS,,,,,,,,,,"Tokyo, Tokyo, Japan",Less than $1M,2016-07-15,day,,
YoChat,https://www.crunchbase.com/organization/yochat-inc,1-10,Active,http://yochat.cn,yo@yochat.cn,,,,,,,,,,"Mobile, Software","Developer Tools, Mobile, SaaS, SNS, Software",,,,,,,,,,"Beijing, Beijing, China",Less than $1M,2015-07-01,day,,https://www.linkedin.com/company/yochat
Aria,https://www.crunchbase.com/organization/aria-japan,11-50,Active,http://www.aria-world.co.jp/,welcome-gate@aria-world.co.jp,+81 45-681-6642,,,,,,,,,"Design, Software","Product Design, SNS, Task Management",,,,,,,,,,"Yokohama, Kanagawa, Japan",Less than $1M,2001-09-04,day,,
Agere,https://www.crunchbase.com/organization/agere-inc,11-50,Active,http://agere-inc.co.jp,info@agere-inc.co.jp,,,,,,,,,,"Apps, Internet Services, Mobile, Platforms, Software","Android, Apps, Internet, iOS, Mobile, SNS, Software, Web Development",,,,,,,,,,"Tokyo, Tokyo, Japan",Less than $1M,2015-05-11,day,,https://www.linkedin.com/company/agere-inc-
Myndpage,https://www.crunchbase.com/organization/myndpage,11-50,Closed,http://myndpage.com,contact@myndpage.com,,,,,,,,,,Software,SNS,,,,,,,,,,"Tokyo, Tokyo, Japan",Less than $1M,2011-03-01,day,,
HypeApp,https://www.crunchbase.com/organization/hypeapp,,Active,https://hypeapp.jp/,,,,,,,,,,,"Advertising, Education, Professional Services, Sales and Marketing, Software","Advertising, App Marketing, Consulting, SNS, Training",,,,,,,,,,"Tokyo, Tokyo, Japan",Less than $1M,2019-07-01,month,,
OPENER Lab,https://www.crunchbase.com/organization/opener,1-10,Closed,http://www.opener.at,info@opener.at,,,,,,,,,,"Apps, Community and Lifestyle, Data and Analytics, Information Technology, Internet Services, Mobile, Navigation and Mapping, Software","Apps, Communities, Information Technology, Location Based Services, Mobile, Mobile Apps, Private Social Networking, SNS",,,,,467585,USD,467585,,,"Campbell, California, United States",Less than $1M,2011-01-01,year,Plug and Play,
Parallel,https://www.crunchbase.com/organization/react-inc,,Active,https://www.parallelcorp.com/,,,,,,,,,,,Software,"SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-07-07,day,"ANRI, Mitsubishi UFJ Capital, NTT DOCOMO Ventures, KDDI Open Innovation Fund, W ventures",
Freecracy Việt Nam,https://www.crunchbase.com/organization/freecracy,51-100,Active,https://freec.asia/,info@freec.asia,+84 28 225 34041,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software","Artificial Intelligence (AI), Employment, Human Resources, Machine Learning, Recruiting, SNS, Software",,,,,,,,,,"Ho Chi Minh City, NA - Vietnam, Vietnam",,2018-10-01,month,"VOYAGE VENTURES, Digital Hollywood, Assertive Investment, Nobuhiro Morita, Shinichi Fujikawa",https://www.linkedin.com/company/freecasia/
MediBang,https://www.crunchbase.com/organization/medibang,11-50,Active,https://medibang.com/,info@medibang.com,1-036-416-9114,,,,,,,,,"Internet Services, Media and Entertainment, Software","Art, Internet, Media and Entertainment, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2014-01-27,day,"VentureOut, B Dash Ventures, GMO Internet, Shueisha, Obunsha Ventures",https://www.linkedin.com/company/medibang
Babel,https://www.crunchbase.com/organization/babel-f2cd,11-50,Active,https://www.babels.jp,,,,,,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Content, SNS",0,1,,Scientific and electric apparatus and instruments,294635,USD,294635,,,"Tokyo, Tokyo, Japan",,2017-08-25,day,"East Ventures, Mitsubishi UFJ Capital, Mizuho Capital, Genesia Ventures, Deepcore",https://www.linkedin.com/company/babel-inc/
SIRC,https://www.crunchbase.com/organization/sirc,1-10,Active,http://www.sirc.co.jp/index.html,,06-6484-5381,,,,,,,,,"Hardware, Software","Hardware, SNS, Task Management",9,1,Testing,Scientific and electric apparatus and instruments,,,,,,"Osaka, Osaka, Japan",,2015-02-01,day,"SMBC Venture Capital, Mizuho Capital, Japan Finance Corporation, Tokyo Gas, JR East Start Up",
Asterisk Japan,https://www.crunchbase.com/organization/asterisk-japan,51-100,Active,https://www.asx.co.jp/,,050-5536-1185,,,,,,,,,"Hardware, Software","SNS, Software, Task Management, Telecommunications",,,,,,,,,,"Osaka, Osaka, Japan",,2006-09-01,day,"SBI Investment, SMBC Venture Capital, Mitsubishi UFJ Capital, Daiwa Corporate Investment, Sansei Capital Investment",
AI Like Me,https://www.crunchbase.com/organization/ai-like-me,,Active,https://about.ailike.me,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software","Artificial Intelligence (AI), SNS, Software",,,,,,,,,,,,2023-09-01,month,Klim Ventures,https://www.linkedin.com/company/ailikeme/
MEDIUM,https://www.crunchbase.com/organization/medium-1228,11-50,Active,https://www.themedium.io,company@themedium.io,+82 2-391-2348,,,,,,,,,"Blockchain and Cryptocurrency, Information Technology, Other, Software","Blockchain, Information and Communications Technology (ICT), IT Infrastructure, SNS, Software",4,2,Computing; Calculating,Scientific and electric apparatus and instruments,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2018-10-26,day,Genenbio,https://www.linkedin.com/in/medium-inc-b385801a1/
TieUps,https://www.crunchbase.com/organization/tieups,,Active,https://tieups.com,,,,,,,,,,,"Advertising, Information Technology, Sales and Marketing, Software","Advertising, Digital Marketing, Information Technology, SNS",0,2,,Advertising; business,,,,,,"Akasaka, Tokyo, Japan",,2020-04-30,day,"SMBC Venture Capital, Mitsubishi UFJ Capital, MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC), ANOBAKA, Shinsei Corporate Investment",
VAZ,https://www.crunchbase.com/organization/vaz,11-50,Active,http://vaz.co.jp/,support@vaz.co.jp,,,,,,,,,,"Media and Entertainment, Professional Services, Software","Content, Recruiting, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-07-22,day,"FreakOut Holdings, CyberAgent Capital, Skyland Ventures, Mizuho Capital, Colopl Next",
Awake Corporation,https://www.crunchbase.com/organization/awake-corporation,101-250,Active,https://awakepeople.com/,,,,,,,,,,,"Media and Entertainment, Software","Content Creators, SNS, Software",,,,,,,,,,"Kangnam, Cholla-namdo, South Korea",,2020-01-01,year,"Buzzvil, Korea Credit Guarantee Fund, Seoul Techno Holdings, Han-Kyun Kim, Alex Shin",
Sabu,https://www.crunchbase.com/organization/sabu,11-50,Active,https://sabu.work/,,+81-036-823-5899,,,,,,,,,"Design, Health Care, Information Technology, Internet Services, Software","Cloud Data Services, Dental, Online Portals, SNS, Web Design",,,,,,,,,,"Tokyo, Tokyo, Japan",,2019-08-08,day,"East Ventures, Coconala Skill Partners, BASE Partners, ORIX Capital Corporation, IU Mirai Fund",
Palsbots,https://www.crunchbase.com/organization/palsbots,101-250,Active,http://palsbots.net,,03-6407-8852,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software","Artificial Intelligence (AI), Robotics, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-07-01,month,"Makuake, VOYAGE VENTURES, Members Japan, Digital Information Technologies, NSD",
Pirika,https://www.crunchbase.com/organization/pirika,11-50,Active,http://corp.pirika.org/,,,,,,,,,,,Software,"SNS, Task Management",1,0,Testing,,,,,,,"Tokyo, Tokyo, Japan",,2011-11-21,day,Takiguchi Kohei,https://www.linkedin.com/company/pirika-inc.
Biome Japan,https://www.crunchbase.com/organization/biome-japan,51-100,Active,https://biome.co.jp/,info@biome.co.jp,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",2,0,Computing; Calculating,,,,,,,"Kyoto, Kyoto, Japan",,2017-05-31,day,"JAFCO, Mizuho Capital, Future Venture Capital, Global Brain Corporation, Hack Ventures",
Adish,https://www.crunchbase.com/organization/adish,251-500,Active,https://www.adish.co.jp,connect@adish.co.jp,03-5759-0334,,,,,,,,,"Education, Information Technology, Other, Professional Services, Software","Customer Service, Education, Information Services, Information Technology, Risk Management, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2014-10-01,day,"MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC), Mizuho Capital, Freebit Investment, Pay-forward, Hiroki Edo",https://www.linkedin.com/company/adish-jp/
TRIBEAU,https://www.crunchbase.com/organization/tribeau,1-10,Active,http://corp.tribeau.jp,,,,,,,,,,,"Apps, Consumer Goods, Health Care, Software","Apps, Beauty, Health Care, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-07-26,day,"Mitsubishi UFJ Capital, Nissay Capital, Japan Finance Corporation, W ventures, Global Brain Corporation",
LTS,https://www.crunchbase.com/organization/lts,251-500,Active,https://lt-s.jp/en/,info@lt-s.jp,81-3-5312-7010,3,3,1,,,,,,"Professional Services, Software","Business Development, Consulting, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2002-03-01,day,"Dream Incubator, Global Brain Corporation, Relia, Cresco",https://www.linkedin.com/company/lt-s
valuedesign,https://www.crunchbase.com/organization/valuedesign,51-100,Active,https://www.valuedesign.jp,info@valuedesign.jp,03-5542-0088,1,2,1,,,,,,"Sales and Marketing, Software","Marketing, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2006-07-26,day,"Ceres, SMBC Venture Capital, JA Mitsui Leasing, T-Gaia, JNS HOLDINGS",https://www.linkedin.com/company/valuedesign-india
YeLL Japan,https://www.crunchbase.com/organization/yell-japan,1-10,Active,https://www.yell4u.jp/,info@m.yell4u.jp,,,,,,,,,,"Professional Services, Software","Recruiting, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-04-01,day,"Akatsuki Games Inc., SMBC Venture Capital, Shinsei Corporate Investment, Globe Advisors",https://www.linkedin.com/company/エール株式会社
Inaho,https://www.crunchbase.com/organization/inaho,11-50,Active,http://inaho.co/,,,,,,,,,,,"Agriculture and Farming, Sales and Marketing, Software","Agriculture, Marketing, SNS",4,0,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,,,,,,,"Kamakura, Kanagawa, Japan",,2017-01-17,day,"ITOCHU Technology Ventures, dof, Emergence Planning",https://www.linkedin.com/company/inaho
Hubble Japan,https://www.crunchbase.com/organization/hubble-japan,1-10,Active,https://hubble-docs.com/,,,,,,,,,,,Software,"SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-04-01,day,"Money Forward, DNX Ventures, ANRI, Archetype Ventures, TLM",https://www.linkedin.com/company/hubbleinc
IJGN,https://www.crunchbase.com/organization/ijgn,11-50,Active,https://ijgn.jp,info@ijgn.jp,,,,,,,,,,"Commerce and Shopping, Financial Services, Food and Beverage, Information Technology, Media and Entertainment, Sales and Marketing, Software","Content, CRM, E-Commerce, Finance, Food and Beverage, Marketing, SNS, Task Management",,,,,,,,,,"Oita, Oita, Japan",,2013-11-01,day,"SBI Investment, Infcurion, Inc., ANRI, Iyogin Capital, Saison Ventures",
LikePay,https://www.crunchbase.com/organization/likepay-inc,11-50,Active,https://likepay.jp/,info@likepay.co,,,,,,,,,,"Advertising, Clothing and Apparel, Consumer Goods, Design, Food and Beverage, Media and Entertainment, Sales and Marketing, Software","Advertising, Beauty, Content, Fashion, Food and Beverage, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-08-01,day,East Ventures,https://www.linkedin.com/company/likepayinc
alu Japan,https://www.crunchbase.com/organization/alu-japan,11-50,Active,https://alu.jp,,,,,,,,,,,"Media and Entertainment, Software","Content, Media and Entertainment, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-07-01,day,"East Ventures, ANRI, Globis Capital Partners, ABBALab - Atom to Bit, Bit to Atom, Ayataro Nakagawa",
Generosity Japan,https://www.crunchbase.com/organization/generosity-japan,11-50,Active,https://generosity.co.jp/,info@generosity.co.jp,1-134-405-8941,,,,,,,,,"Content and Publishing, Media and Entertainment, Sales and Marketing, Software, Video","Marketing, Media and Entertainment, SNS, Video Editing",,,,,,,,,,"Roppongi, Tokyo, Japan",,2015-01-01,year,"JAFCO, MITSUI SUMITOMO INSURANCE Venture Capital (MSIVC)",https://www.linkedin.com/company/generosity.jp
Market Drive,https://www.crunchbase.com/organization/market-drive,11-50,Active,http://market-drive.com,pr@market-drive.com,81 3-6416-0718,,,,,,,,,"Media and Entertainment, Software","Media and Entertainment, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-07-01,day,"East Ventures, VEGA corporation, UMJ, Newton Press",https://www.linkedin.com/company/market-drive-inc/
FLATBOYS,https://www.crunchbase.com/organization/flatboys,,Active,https://flatboys.co.jp/,,,,,,,,,,,"Internet Services, Media and Entertainment, Other, Sales and Marketing, Software, Video","Internet, Marketing, Service Industry, SNS, Subscription Service, Video",,,,,,,,,,"Tokyo, Tokyo, Japan",,2019-06-21,day,"ECloud japan, Takashi Nagao, Watanabe Kazuyuki, Takuya Noguchi, Takami Obara",
TENDA Japan,https://www.crunchbase.com/organization/tenda-japan,101-250,Active,https://www.tenda.co.jp/,,,,,,,,,,,"Education, Energy, Media and Entertainment, Software, Sustainability","Content, Education, Renewable Energy, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2002-04-01,day,HAKUHODO PRODUCT’S,https://www.linkedin.com/company/%EF%BC%88%E6%A0%AA%EF%BC%89%E3%83%86%E3%83%B3%E3%83%80/about/
RTi-cast,https://www.crunchbase.com/organization/rti-cast,1-10,Active,https://www.rti-cast.co.jp,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Sendai, Miyagi, Japan",,2018-06-18,day,Tohoku University Venture Partners,
TIGALA,https://www.crunchbase.com/organization/tigala,1-10,Closed,https://tigala.co.jp/,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2011-12-01,day,"DG VENTURES, Kensuke Furukawa, TLM, 100Capital, Vector",
STiLy Japan,https://www.crunchbase.com/organization/stily-japan,1-10,Active,http://www.stily.co.jp,,,,,,,,,,,"Health Care, Real Estate, Software","Nursing and Residential Care, Real Estate, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-03-06,day,JAFCO,
Theoria Japan,https://www.crunchbase.com/organization/theoria-japan,11-50,Active,https://theoria-inc.jp/,,,,,,,,,,,"Financial Services, Media and Entertainment, Software","Content, Finance, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-01-10,day,"SMBC Venture Capital, Mitsubishi UFJ Capital, W ventures, ANOBAKA, Nobuhiro Ariyasu",
JAM Japan,https://www.crunchbase.com/organization/jam-japan,11-50,Active,http://jam-p.com/,kita@jam-p.com,81 6-6485-2602,,,,,,,,,"Advertising, Manufacturing, Media and Entertainment, Sales and Marketing, Software","Advertising, Manufacturing, Media and Entertainment, SNS",,,,,,,,,,"Osaka, Osaka, Japan",,2007-01-01,year,Fundinno,
MODALAVA,https://www.crunchbase.com/organization/modalava,1-10,Active,https://www.modalava.com,info@modalava.com,03-6777-3322,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Design, Software","E-Commerce, Fashion, Graphic Design, Product Design, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2017-07-01,day,"Japan Finance Corporation, Mainichi Future Creation Laboratory",
Anlimited,https://www.crunchbase.com/organization/anlimited,1-10,Active,https://union-jp.site,support@union-jp.info,,,,,,,,,,"Education, Software","Education, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2021-03-15,day,East Ventures,
GeoLogic Japan,https://www.crunchbase.com/organization/geologic-japan,11-50,Active,http://www.geologic.co.jp,info@geologic.co.jp,,,,,,,,,,"Advertising, Clothing and Apparel, Consumer Goods, Design, Media and Entertainment, Sales and Marketing, Software","Advertising, Beauty, Content, Fashion, Marketing, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2014-11-14,day,"Genesia Ventures, LINE Ventures, Tatsuo Sakamoto, Tokyu Agency",https://www.linkedin.com/company/geologic-jp
Teen Studio,https://www.crunchbase.com/organization/teen-studio,,Active,https://teenstudio.co.kr/,sjt@teen-studio.com,+82 02 - 523 - 0520,,,,,,,,,"Apps, Commerce and Shopping, Internet Services, Media and Entertainment, Software","Apps, E-Commerce, Shopping, SNS, Social Media",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2021-05-01,month,I.T Shin,
Quantaglion,https://www.crunchbase.com/organization/quantaglion,1-10,Active,http://quantaglion.com,,,,,,,,,,,"Manufacturing, Software","Manufacturing, SNS, Task Management",2,0,Electric Communication Technique,,,,,,,"Tokyo, Tokyo, Japan",,2015-06-01,day,Real Tech Japan,
WELLSTYLE,https://www.crunchbase.com/organization/wellstyle,1-10,Active,http://www.wellstyle.co.jp,,,,,,,,,,,"Health Care, Media and Entertainment, Software","Content, Nursing and Residential Care, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2010-06-01,day,Nissay Capital,
xxx Japan,https://www.crunchbase.com/organization/xxx-japan,,Active,https://xxxaz.jp/index.html,,,,,,,,,,,"Real Estate, Software","Real Estate, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2015-08-03,day,,
Perftile,https://www.crunchbase.com/organization/perftile,,Active,https://perftile.com,info@perftile.co.jp,+81 050-5806-6131,,,,,,,,,"Artificial Intelligence (AI), Software, Sports","Generative AI, SNS, Software, Sports",,,,,,,,,,"Tokyo, Tokyo, Japan",,2023-11-11,day,,
SMS Japan,https://www.crunchbase.com/organization/sms-co-ltd,1001-5000,Active,https://www.bm-sms.co.jp/en/company/profile/,,+81 3-6721-2408,4,4,3,,,,,,"Administrative Services, Health Care, Software","Health Care, Nursing and Residential Care, SNS, Staffing Agency",,,,,,,,,,"Tokyo, Tokyo, Japan",,2003-04-04,day,"JAFCO, Mizuho Capital, M3, Resona Capital, Mizuho Securities",https://www.linkedin.com/company/sms-co-ltd
Givery,https://www.crunchbase.com/organization/givery,51-100,Active,https://givery.co.jp/,,+81 3-5489-7188,1,1,,,,,,,"Administrative Services, Health Care, Software","Nursing and Residential Care, SNS, Staffing Agency",,,,,,,,,,"Tokyo, Tokyo, Japan",,2009-04-28,day,,https://www.linkedin.com/company/givery/
Pawoo,https://www.crunchbase.com/organization/pawoo,,Active,https://pawoo.net,,,,,,,,,,,"Content and Publishing, Media and Entertainment, Software","Creative Agency, Photography, SNS",,,,,,,,,,"Japan, Jawa Tengah, Indonesia",,2017-01-01,year,,
Circle of Moms,https://www.crunchbase.com/organization/circle-of-moms,1-10,Closed,http://www.circleofmoms.com,info@circleofmoms.com,,,,,,,,,,"Community and Lifestyle, Events, Internet Services, Media and Entertainment, Mobile, Other, Software","Association, Communities, Events, Mobile, Parenting, SNS, Social Media",,,,,,,,,,"San Francisco, California, United States",,2008-01-01,year,"Floodgate, Uncork Capital, Naval Ravikant",https://www.linkedin.com/company/circle-of-moms
nagomi,https://www.crunchbase.com/organization/nagomi,,Closed,http://nagomi-sns.jp/,,,,,,,,,,,"Media and Entertainment, Software","Content, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2016-09-23,day,,
FreeNow,https://www.crunchbase.com/organization/freenow,,Closed,http://www.freenow.co.jp/,,,,,,,,,,,"Apps, Software","Apps, SNS",,,,,,,,,,"Kawasaki, Kanagawa, Japan",,2014-02-17,day,,
XTech,https://www.crunchbase.com/organization/xtech-japan,1-10,Active,https://xtech-corp.co.jp/,,,1,1,1,,,,,,"Internet Services, Professional Services, Software","Business Development, Consulting, Internet, SNS, Software, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-01-01,day,,
Trenders,https://www.crunchbase.com/organization/trenders,101-250,Active,http://www.trenders.co.jp/,,,,,,,,,,,"Advertising, Sales and Marketing, Software","Advertising, Marketing, SNS",,,,,,,,,,"Shibuya, Kanagawa, Japan",,2000-04-01,day,"CyberAgent Capital, Akinori Takamura, Tsunezawa Kahoko",https://www.linkedin.com/company/トレンダーズ（株）
Drecom,https://www.crunchbase.com/organization/drecom,51-100,Active,http://drecom.co.jp,privacy@drecom.co.jp,,3,3,1,,,,,,"Advertising, Content and Publishing, Media and Entertainment, Sales and Marketing, Software","Ad Targeting, Advertising, Blogging Platforms, SNS",1,12,Computing; Calculating,"Paper, cardboard and goods made from these materials",,,,,,"Tokyo, Tokyo, Japan",,1969-12-31,day,"CyberAgent, GMO Internet, Shinichi Saijo, Yuki Naito, iFLAG Co.,Ltd.",https://www.linkedin.com/company/（株）ドリコム
Whatever,https://www.crunchbase.com/organization/whatever,11-50,Active,https://whatever.co/,hello@whatever.co,+81 3-6427-6022,1,1,1,,,,,,"Advertising, Media and Entertainment, Sales and Marketing, Software","Advertising, Content, SNS, Task Management",,,,,,,,,,"Tokyo, Tokyo, Japan",,2019-01-01,year,,https://www.linkedin.com/company/whtevr-co/
LEXI,https://www.crunchbase.com/organization/lexi-co-ltd,11-50,Active,https://www.lexi.co.jp/en,salesinfo@lexi.co.jp,,,,,,,,,,"Health Care, Software","Nursing and Residential Care, SNS, Software, Task Management",4,10,Medical Or Veterinary Science; Hygiene,Scientific and electric apparatus and instruments,,,,,,"Tokyo, Tokyo, Japan",,1988-01-01,year,,https://in.linkedin.com/company/lexi-co-ltd-
Yisainuo,https://www.crunchbase.com/organization/yisainuo,,Active,https://www.yisainuo.com,sinoart@yisainuo.com,400-182-8080,,,,,,,,,"Advertising, Commerce and Shopping, Internet Services, Sales and Marketing, Software","E-Commerce, SEM, SNS",,,,,,,,,,"Zhengzhou, Henan, China",,2003-01-01,year,,https://www.linkedin.com/company/zhengzhou-yisainuo-information-technology-co-ltd
FRNZ labs,https://www.crunchbase.com/organization/frnz-labs,1-10,Active,https://frnz.me,jongho.lee@frnz.co.kr,,,,,,,,,,"Community and Lifestyle, Software","Dating, SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,2014-10-16,day,,
Michikusa,https://www.crunchbase.com/organization/michikusa,1-10,Active,https://michikusa.tech/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Science and Engineering, Software","Artificial Intelligence (AI), SaaS, SNS, Web Design",,,,,,,,,,"Tokyo, Tokyo, Japan",,2023-10-29,day,,
Open Source Food,https://www.crunchbase.com/organization/open-source-food,1-10,Closed,http://www.opensourcefood.com,hello@opensourcefood.com,,,,,,,,,,"Data and Analytics, Food and Beverage, Internet Services, Media and Entertainment, Software","Content, Cooking, Image Recognition, Open Source, SNS, Social Media",,,,,,,,,,"Tokyo, Tokyo, Japan",,2007-03-12,day,,
Autoscale,https://www.crunchbase.com/organization/autoscale-ai,,Active,http://autoscale.ai/,info@autoscale.ai,,,,,,,,,,"Advertising, Information Technology, Internet Services, Messaging and Telecommunications, Professional Services, Sales and Marketing, Software","Advertising, Consulting, SNS, Unified Communications",,,,,93245,USD,93245,,,"Dallas, Texas, United States",,2012-01-01,year,Tech Wildcatters,https://www.linkedin.com/company/autoscale-ai/
Flip.com,https://www.crunchbase.com/organization/flip-com,1-10,Closed,http://www.flip.com,,,,,,,,,,,"Community and Lifestyle, Internet Services, Software","SNS, Teenagers, Web Hosting",,,,,,,,,,"Oakland, California, United States",,,,,
Nabiq,https://www.crunchbase.com/organization/nabiq,1-10,Active,https://www.nabiq.co.jp/,,03-6206-9246,,,,,,,,,"Hardware, Software","SNS, Task Management, Telecommunications",1,0,Electric Communication Technique,,,,,,,"Tokyo, Tokyo, Japan",,2013-08-08,day,"JTOWER, UTEC - The University of Tokyo Edge Capital Partners",
Kilig,https://www.crunchbase.com/organization/kilig,,Active,https://kilig.co.jp/,info@kilig.co.jp,,,,,,,,,,"Commerce and Shopping, Community and Lifestyle, Consumer Goods, Health Care, Software","Beauty, E-Commerce, Retail, SNS, Wellness, Women's",,,,,,,,,,"Tokyo, Tokyo, Japan",,,,,
PicApp,https://www.crunchbase.com/organization/picapp-9a33,11-50,Active,https://picappinc.jp/,info@picappinc.jp,,,,,,,,,,"Consumer Electronics, Content and Publishing, Hardware, Information Technology, Media and Entertainment, Software, Video","Computer, Content, Information Technology, SNS, Software, Video Editing",,,,,,,,,,"Roppongi, Tokyo, Japan",,2014-07-08,day,,
Mirrorboard,https://www.crunchbase.com/organization/mirrorboard,,Active,http://mirrorboard.com/,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software","Artificial Intelligence (AI), Information and Communications Technology (ICT), SNS",,,,,,,,,,"Seoul, Seoul-t'ukpyolsi, South Korea",,,,Korea Investment Accelerator,
DotChain,https://www.crunchbase.com/organization/dotchain,1-10,Active,https://www.dotchain.ltd,inquiry@dcmail.biz,,,,,,,,,,"Advertising, Hardware, Media and Entertainment, Sales and Marketing, Software","Advertising, Metaverse, SNS, Virtual Reality",,,,,,,,,,"Marugame, Kagawa, Japan",,2022-10-01,day,,
WeCAP,https://www.crunchbase.com/organization/wecap,,Active,https://wecap.co.jp/,,,,,,,,,,,"Information Technology, Professional Services, Software","Information Technology, Recruiting, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,2021-06-10,day,,
Mouket,https://www.crunchbase.com/organization/mouket,,Active,https://www.mouket.io,info@mouket.io,,,,,,,,,,"Administrative Services, Media and Entertainment, Other, Sales and Marketing, Software, Video","Digital Marketing, Project Management, SNS, Video",,,,,,,,,,"Tokyo, Tokyo, Japan",,2023-01-11,day,,
TTT,https://www.crunchbase.com/organization/ttt,,Active,https://tttlnc.com/,info@tttlnc.com,+81-6-6210-5851,,,,,,,,,"Professional Services, Sales and Marketing, Software","Consulting, Marketing, SNS",0,1,,Precious Metals and their alloys; jewelry; time-keeping instruments,,,,,,"Osaka, Osaka, Japan",,2017-08-01,month,,
Open Connect,https://www.crunchbase.com/organization/open-connect,,Active,http://www.openconnect.co.jp/,,+81 052-238-4011,,,,,,,,,"Advertising, Events, Hardware, Internet Services, Media and Entertainment, Sales and Marketing, Software","Advertising, Internet, Reservations, SNS, Telecommunications",,,,,,,,,,"Nagoya, Aichi, Japan",,2012-01-01,year,,
PARKLoT,https://www.crunchbase.com/organization/parklot,,Active,https://www.park-lot.com/,,+81 050 3528 8481,,,,,,,,,"Apps, Mobile, Professional Services, Software","Consulting, Mobile Apps, SNS",,,,,,,,,,"Tokyo, Tokyo, Japan",,2018-03-14,day,,
Polimill,https://www.crunchbase.com/organization/polimill,,Active,https://polimill.jp ,info@polimill.jp,,,,,,,,,,Software,"Developer Platform, SNS, Software",,,,,,,,,,"Tokyo, Tokyo, Japan",,2021-02-01,month,,
